sub,sub_num,orig_epoch,condition,item_name,familiarity,match_status,isPC_LPC
03,3,112,Anomalous,broken,2.5625,matched,0.955135858516341
03,3,113,Literal,fight,5.3125,matched,0.95107677900671
03,3,114,Anomalous,food,3.58823529411765,matched,0.981636586817561
03,3,115,Metaphor,body,3.52941176470588,unmatched,0.950881773093836
03,3,117,Metaphor,heart,4.625,unmatched,0.980760797152498
03,3,118,Anomalous,shoulder,2.4375,matched,0.98053653124746
03,3,119,Metaphor,teeth,2.6875,unmatched,0.972032314687888
03,3,120,Metaphor,smell,4,unmatched,0.92336133080413
03,3,121,Literal,dry,5,unmatched,0.931899737524845
03,3,122,Literal,rain,5.875,matched,0.914056002275678
03,3,124,Literal,pills,4.8125,unmatched,0.914932466417003
03,3,126,Metaphor,charging,4.625,matched,0.948984717886508
03,3,127,Metaphor,walk,5.88235294117647,matched,0.936022774723618
03,3,129,Literal,walking,3.9375,matched,0.928016168634852
03,3,130,Anomalous,tag,2.66666666666667,unmatched,0.962298527853538
03,3,131,Metaphor,bag,6.38888888888889,matched,0.943408006787654
03,3,132,Anomalous,root,2.41176470588235,unmatched,0.955879603634306
03,3,134,Literal,sheep,4.52941176470588,matched,0.940470079290134
03,3,135,Anomalous,fishing,1.35294117647059,unmatched,0.973260318942138
03,3,136,Anomalous,plant,3.0625,matched,0.986675947466436
03,3,137,Literal,clock,5.5,matched,0.975962693403314
03,3,139,Metaphor,key,5.17647058823529,matched,0.984395211412545
03,3,140,Literal,couple,5.82352941176471,matched,0.974828128249197
03,3,141,Anomalous,blind,3.26666666666667,matched,0.929217522701568
03,3,142,Anomalous,scale,2.6875,matched,0.950897600491809
03,3,143,Literal,light,5.47058823529412,matched,0.9422147515393
03,3,144,Metaphor,scattered,4.82352941176471,matched,0.914341512591968
03,3,145,Metaphor,running,5.53333333333333,matched,0.949099347613231
03,3,146,Metaphor,fixed,4.6875,matched,0.98291723206644
03,3,147,Metaphor,chains,4.58823529411765,matched,0.895513586132105
03,3,149,Anomalous,empty,2,matched,0.839306191217088
03,3,151,Anomalous,head,4.375,matched,0.956919328755458
03,3,152,Metaphor,words,3.5625,matched,0.85526966068989
03,3,154,Anomalous,tears,1.64705882352941,unmatched,0.932062373432466
03,3,155,Anomalous,jail,2.52941176470588,matched,0.903371029950017
03,3,156,Anomalous,couch,2.4375,matched,0.94830628737794
03,3,158,Anomalous,tree,2.375,matched,0.976556154863446
03,3,160,Anomalous,missing,2.8125,unmatched,0.944753807493792
03,3,161,Metaphor,cough,2.58823529411765,unmatched,0.979671103239281
03,3,162,Literal,thought,5.52941176470588,matched,0.895979598921902
03,3,163,Anomalous,bin,2.8125,matched,0.925986716951477
03,3,164,Metaphor,eye,4.375,matched,0.961610422349297
03,3,166,Literal,lifting,6.0625,matched,0.983904881826916
03,3,167,Metaphor,growing,2.75,unmatched,0.935310992578926
04,4,1,Literal,drowning,5.22222222222222,matched,0.980617300778973
04,4,3,Metaphor,empty,5.05555555555556,matched,0.974820893824641
04,4,5,Metaphor,tears,4.16666666666667,unmatched,0.919157859322768
04,4,6,Literal,eye,5.44444444444444,matched,0.929092254932138
04,4,7,Anomalous,sheep,2.72222222222222,matched,0.942054741767049
04,4,9,Literal,chains,5.5,matched,0.934564378075062
04,4,10,Metaphor,bin,4.72222222222222,matched,0.887998329043474
04,4,11,Metaphor,missing,4.44444444444444,unmatched,0.939468830404789
04,4,12,Literal,fixed,5,matched,0.957884343944747
04,4,13,Metaphor,tree,5.33333333333333,matched,0.983220114387465
04,4,14,Anomalous,walking,2.5,matched,0.947181003798721
04,4,16,Literal,running,5.72222222222222,matched,0.973408794602837
04,4,17,Anomalous,fight,1.94444444444444,matched,0.954665143041654
04,4,18,Literal,walk,5.16666666666667,matched,0.978268862766622
04,4,19,Literal,smell,5.66666666666667,unmatched,0.996585012464361
04,4,20,Anomalous,dry,1.61111111111111,unmatched,0.978850886871798
04,4,21,Metaphor,root,3.05555555555556,unmatched,0.938999533467147
04,4,22,Anomalous,clock,4,matched,0.970818384232923
04,4,23,Literal,heart,6.38888888888889,unmatched,0.878106587672133
04,4,26,Literal,charging,6.11111111111111,matched,0.99404705878578
04,4,28,Anomalous,rain,2.61111111111111,matched,0.99218976582613
04,4,30,Metaphor,food,5.83333333333333,matched,0.992212190134116
04,4,33,Literal,body,5.66666666666667,unmatched,0.957594569384606
04,4,34,Metaphor,head,4.61111111111111,matched,0.974554989399346
04,4,35,Literal,growing,5.11111111111111,unmatched,0.952365282353941
04,4,37,Literal,bag,3.72222222222222,matched,0.965393191239074
04,4,38,Metaphor,plant,5.66666666666667,matched,0.936062907487689
04,4,40,Anomalous,pills,2.88888888888889,unmatched,0.953167939283408
04,4,41,Metaphor,broken,6.55555555555556,matched,0.952639911309627
04,4,42,Metaphor,shoulder,3.77777777777778,matched,0.965476612174384
04,4,43,Metaphor,couch,6.11111111111111,matched,0.956738019245683
04,4,44,Literal,teeth,5.05555555555556,unmatched,0.959811792451216
04,4,45,Anomalous,lifting,1.94444444444444,matched,0.909234943356142
04,4,46,Anomalous,light,2.16666666666667,matched,0.97565733915311
04,4,47,Metaphor,fishing,4.27777777777778,unmatched,0.961616517108526
04,4,49,Metaphor,tag,3.94444444444444,unmatched,0.97343129829756
04,4,50,Literal,key,5.33333333333333,matched,0.981602154877704
04,4,52,Metaphor,scale,5.66666666666667,matched,0.961788156906979
04,4,53,Anomalous,couple,2.16666666666667,matched,0.978446106263616
04,4,54,Metaphor,blind,5.55555555555556,matched,0.986908750160633
04,4,55,Literal,cough,5.94444444444444,unmatched,0.98171629600844
04,4,56,Anomalous,walk,4.23529411764706,matched,0.936176989767063
04,4,58,Literal,bin,6.17647058823529,matched,0.864092974711461
04,4,59,Literal,blind,5.70588235294118,matched,0.967556734360843
04,4,60,Literal,broken,5.75,matched,0.963972924087178
04,4,62,Anomalous,key,2.41176470588235,matched,0.945900717700599
04,4,63,Literal,plant,6.1875,matched,0.961055544272185
04,4,65,Literal,shoulder,4.875,matched,0.981477349291209
04,4,66,Literal,food,5.76470588235294,matched,0.978707852185394
04,4,67,Anomalous,cough,4.35294117647059,unmatched,0.987122709287221
04,4,68,Literal,tree,6.125,matched,0.94545140130145
04,4,70,Anomalous,scattered,2.88235294117647,matched,0.976302816562434
04,4,71,Metaphor,sheep,4,matched,0.983514083399565
04,4,74,Literal,root,5.29411764705882,unmatched,0.980131941060763
04,4,76,Anomalous,running,3.41176470588235,matched,0.985466429323737
04,4,79,Metaphor,pills,2.82352941176471,unmatched,0.980272171881168
04,4,80,Metaphor,rain,5.88235294117647,matched,0.97084608009548
04,4,81,Metaphor,dry,3.26666666666667,unmatched,0.965058220356469
04,4,82,Literal,jail,5.82352941176471,matched,0.971044425446498
04,4,85,Anomalous,chains,2.6875,matched,0.938287032961239
04,4,86,Literal,tag,5.625,unmatched,0.938263141276431
04,4,87,Anomalous,teeth,1.88235294117647,unmatched,0.978837426677907
04,4,88,Anomalous,bag,1.58823529411765,matched,0.982342442760137
04,4,89,Anomalous,body,3.94117647058824,unmatched,0.962289180899941
04,4,90,Literal,head,3.29411764705882,matched,0.962046937363097
04,4,91,Metaphor,walking,4.9375,matched,0.98717412159679
04,4,92,Anomalous,heart,2.35294117647059,unmatched,0.966758821439408
04,4,94,Anomalous,eye,2.52941176470588,matched,0.994843211888269
04,4,95,Anomalous,fixed,3.875,matched,0.961052055145108
04,4,97,Literal,empty,5.17647058823529,matched,0.967805412667234
04,4,98,Literal,tears,6.375,unmatched,0.898838412720311
04,4,99,Anomalous,drowning,3.4375,matched,0.919544883229683
04,4,100,Metaphor,clock,6.35294117647059,matched,0.958044695514327
04,4,101,Literal,scale,5.17647058823529,matched,0.88591976465975
04,4,104,Metaphor,lifting,5.5,matched,0.985605614065863
04,4,105,Literal,missing,6.17647058823529,unmatched,0.975516872455654
04,4,106,Metaphor,fight,4.875,matched,0.978454617434943
04,4,109,Metaphor,light,4.94117647058824,matched,0.930912769952621
